中文名,学名,临危等级 Red List Status
大齿鼠,Dacnomys millardi,NT 
云南松田鼠,Neodon forresti,DD
黑缘齿鼠,Rattus andamanensis,LC 
青海松田鼠,Neodon fuscus,LC
东亚屋顶鼠,Rattus brunneusculus,DD 
高原松田鼠,Neodon irene,LC
缅鼠,Rattus exulans,LC 
帕米尔松田鼠,Neodon juldaschi,LC
黄毛鼠,Rattus losea,LC 
林芝松田鼠,Neodon linzhiensis,NT
大足鼠,Rattus nitidus,LC 
锡金松田鼠,Neodon sikimensis,LC
褐家鼠,Rattus norvegicus,LC 
白尾松田鼠,Phaiomys leucurus,LC
拟家鼠,Rattus pyctoris,LC 
黑田鼠,Microtus agrestis,NT
黄胸鼠,Rattus tanezumi,LC 
普通田鼠,Microtus arvalis,LC
北社鼠,Niviventer confucianus,LC 
克氏田鼠,Microtus clarkei,NT
台湾社鼠,Niviventer culturatus,NT 
东方田鼠,Microtus fortis,LC
安氏白腹鼠,Niviventer andersoni,LC 
狭颅田鼠,Microtus gregalis,LC
台湾白腹鼠,Niviventer coninga,LC 
伊犁田鼠,Microtus ilaeus,LC
川西白腹鼠,Niviventer excelsior,LC 
台湾田鼠,Microtus kikuchii,NT
海南白腹鼠,Niviventer lotipes,LC 
柴达木根田鼠,Microtus limnophilus,LC
梵鼠,Niviventer brahma,NT 
莫氏田鼠,Microtus maximowiczii,LC
褐尾鼠,Niviventer cremoriventer,VU
蒙古田鼠,Microtus mongolicus,LC
灰腹鼠,Niviventer eha,LC 
根田鼠,Microtus oeconomus,LC
针毛鼠,Niviventer fulvescens,LC 
社田鼠,Microtus socialis,LC
拟刺毛鼠,Niviventer huang,LC 
四川田鼠,Volemys millicens,NT
南洋鼠,Niviventer langbianis,LC 
川西田鼠,Volemys musseri,NT
缅甸山鼠,Niviventer tenaster,DD 
布氏田鼠,Lasiopodomys brandtii,LC
红毛王鼠,Maxomys surifer,LC 
棕色田鼠,Lasiopodomys mandarinus,LC
大泡灰鼠,Berylmys berdmorei,LC 
黄兔尾鼠,Eolagurus luteus,NT
青毛巨鼠,Berylmys bowersi,LC 
小泡灰鼠,Berylmys manipulus,DD
内蒙羽尾跳鼠,Stylodipus andrewsi,LC 
白腹巨鼠,Leopoldamys edwardsi,LC
羽尾跳鼠,Stylodipus telum,LC 
耐氏大鼠,Leopoldamys neilli,EN
长耳跳鼠,Euchoreutes naso,LC 
卡氏小鼠,Mus caroli,LC 
仔鹿小鼠,Mus cervicolor,LC
帚尾豪猪,Atherurus macrourus,LC 
丛林小鼠,Mus cookii,LC
马来豪猪,Hystrix brachyura,LC 
小家鼠,Mus musculus,LC
中国豪猪,Hystrix hodgsoni,LC 
锡金小鼠,Mus pahari,LC
板齿鼠,Bandicota indica,LC
印度地鼠,Nesokia indica,LC
高山鼠兔,Ochotona alpina,LC 
短耳沙鼠,Brachiones przewalskii,LC
青海鼠兔,Ochotona annectens,LC 
红尾沙鼠,Meriones libycus,LC
宁夏鼠兔,Ochotona argentata,CR
子午沙鼠,Meriones meridianus,LC
间颅鼠兔,Ochotona cansus,LC 
柽柳沙鼠,Meriones tamariscinus,LC
高原鼠兔,Ochotona curzoniae,LC 
长爪沙鼠,Meriones unguiculatus,LC
达乌尔鼠兔,Ochotona dauurica,LC 
大沙鼠,Rhombomys opimus,LC
红耳鼠兔,Ochotona erythrotis,LC 
灰颈鼠兔,Ochotona forresti,NT 
猪尾鼠,Typhlomys cinereus,LC
高黎贡鼠兔,Ochotona gaoligongensis,NT 
川西鼠兔,Ochotona gloveri,LC 
小竹鼠,Cannomys badius,DD
喜马拉雅鼠兔,Ochotona himalayana,LC 
银星竹鼠,Rhizomys pruinosus,LC
秦岭鼠兔,Ochotona huangensis,LC 
中华竹鼠,Rhizomys sinensis,LC
东北鼠兔,Ochotona hyperborea,LC 
大竹鼠,Rhizomys sumatrensis,LC
